qid,question,answer_id,video_id,a0,a1,a2,a3,start,end
1257,Why does the younger girl speak loudly as she rates the food?,2,DB7de4nC2rc,"Yes, she speaks loudly because she is excited about the food.",The younger girl speaks loudly because she wants to be heard over the noise of the video.,The younger girl is enthusiastic about her response because she likes the food.,The younger girl just speaks loudly.,0,57
1258,Why is the girl on the left bouncing around after smelling the treat?,0,DB7de4nC2rc,She liked how it smelled and was excited to eat it.,She is excited to go to the park.,She is allergic to the smell.,to eat it.,0,57
1259,How does the woman with blonde hair feel towards the woman with brown hair?,0,DBzEhaJmBYY,She is a little intimidated by the woman with dark hair but listens to what she has to say carefully.,She is envious of the woman with brown hair.,She is trying to impress the woman with brown hair.,She doesn't care about the woman with brown hair and ignores everything she says.,0,60
1260,How is the woman with brown hair feeling?,0,DBzEhaJmBYY,The woman with brown hair is bitter and very honest about expressing her disdain for the writing industry.,The woman with brown hair is envious and very unprofessional about voicing her jealousy towards the young writer.,The woman with brown hair is excited about her upcoming vacation.,The woman with brown hair is stern and angry because she feels undervalued as a writer.,0,60
1261,What does the blonde women feel about the woman with the dark hair?,2,DBzEhaJmBYY,The blonde woman seems to be annoyed by the woman with dark hair since she never pays attention to her.,The blonde woman thinks negatively of the woman with dark hair and is jealous of her writing skills.,The blonde hair woman seems to admire the woman with the dark hair since she praises her skills frequently.,The blonde woman is indifferent to the dark-haired woman since they are both just,0,60
1262,What is the motive behind the woman with brown hair's actions?,2,DBzEhaJmBYY,The woman with brown hair is trying to sell her book to the younger woman.,She is illustrating a pretty picture of the writing industry to the younger woman.,She is revealing a harsh reality of the writing industry to the younger woman.,The woman with brown hair wants to impress her colleagues.,0,60
1263,What is the tone of the woman in the dark hair?,2,DBzEhaJmBYY,The tone of the woman with the dark hair is one of annoyance and dismissal,The woman in the dark hair is feeling very happy and optimistic.,The tone of the woman with the dark hair is really pessimistic and discouraging towards the woman with the blonde hair.,The woman in blue scoffs to show how she is annoyed by what the woman with the blonde hair is saying.,0,60
1264,What role does the man with the brown tie serve in this situation?,3,DBzEhaJmBYY,The man with the brown tie is the owner of the bar.,The man with the brown tie wants to emphasize his point to Elaine Moselle and her friend.,The man with the brown tie serves as the person who distracts everyone from the main topic.,The man with the brown tie serves as the person who introduces the two woman.,0,60
1265,How does the toddler react to going on the outing,3,DF0CyJPD7Zg,He cries because he is tired.,He screams because he is scared.,The toddler throws a tantrum because he wants to go home.,He smiles because he is excited,0,60
1266,Which part of the outing does the boy express the most excitement for,1,DF0CyJPD7Zg,She wants to show off her new shoes.,He seems most excited to buy toys,She wants to make him happy.,He seems most excited to go out to eat.,0,60
1267,Why does the woman raise her tone of voice when first saying the word birthday,1,DF0CyJPD7Zg,She is excited for her lavish celebration,She wants to invoke a response from the child,She is trying to scare her child.,She wants to have fun with her child on his birthday.,0,60
1268,Why does the woman want to take the toddler out,3,DF0CyJPD7Zg,She wants to show off her new shoes.,She wants to make him happy.,She wants to distract him,She wants to celebrate him,0,60
1269,Why doesn't the woman turn back to talk to the child,0,DF0CyJPD7Zg,It is more comfortable for her to look at him in the rearview mirror,It is dangerous for her to turn around as they are on the interstate,The toddler throws a tantrum because he wants to go home.,He screams because he is scared.,0,60
1270,What does it mean when the woman shakes her head slightly?,0,DGLGNr9M7fY,She is expressing surprise at finally seeing someone.,The man in the suit is the biggest star in the world.,She is disapproving of her guest's physical appearance.,The woman is disappointed with what she sees.,0,60
1271,What is the woman trying to do by clasping her hands together in front of her?,3,DGLGNr9M7fY,She is showing her enthusiasm.,She is trying to hide something.,She wants to demonstrate a close bond.,She does this to emphasize her speaking.,0,60
1272,Why does the woman hug the man?,0,DGLGNr9M7fY,She is excited to see him after a long time.,She is comforting him after his breakup.,She is relieved to see him after a long time.,She is showing her empathy and support for him.,0,60
1273,Why does the woman spread her arms far out?,0,DGLGNr9M7fY,She wants to show her visitor that she is welcoming him.,She wants to emphasize that something is very large.,She's trying to catch a butterfly.,She spreads her arms to emphasize her point.,0,60
1274,Why does the woman stand directly opposite the man?,0,DGLGNr9M7fY,She is examining his physical appearance.,She is trying to avoid him.,She is impressed by his clothes.,She is showing her attraction by gazing at him.,0,60
1275,What does it mean when the woman furrows her brow?,3,DJnKxIj_D6A,She is upset at the way the man responds to her question.,Her dismissive body language prompts him to ask her about this.,She is surprised by the man's outfit.,She is curious as to how the man would respond to her question.,0,60
1276,What is the woman trying to do when she shakes her head side to side?,2,DJnKxIj_D6A,She is feeling disbelief at a question she was asked.,The woman is trying to remember something.,She is adding a playful quality to what she was saying.,The woman is trying to be funny but fails to make anyone laugh.,0,60
1277,Why does the man lean back in his chair?,2,DJnKxIj_D6A,The man leans back in his chair in surprise at the woman's words.,The man leans back in his chair because he finds the conversation amusing.,He was taken aback by what the woman said.,He was upset by what the woman said.,0,60
